,text,BIO_anno
2030,换什么，老铁。我坚持浦发的用了十年了,O O O O O O O O O O B-BANK I-BANK O O O O O O
2031,这个没有销户（虽然是0），工商的建议去柜台，一个月销户，如果是打电话的，可能需要一年,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O
2032,融E借借5000出来就可以调,O O O O O O O O O O O O O O
2033,估计不影响，我去年办的工行房贷，办理之前首付还差点，就用了中信的新快现，分了12期，贷款也过了,O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O O O
2034,看银行要求，一般会需要你结清负债，如果只有这2万的话，可能也不管,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O
2035,只有这两万，主要是提前结清利息全扣不划算,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
2036,老哥分期了多少金额，我现在也是这种情况，担心不过,O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2037,老哥，你贷款过了没？我也遇到这样的问题，信用卡有分期。,O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O
2038,这个飞猪里程是定级里程么？需要84000的积分换7000，这样是不是就飞猪F4会员了？,O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O
2039,挺划算，招行经常做这样的活动,O O O O B-BANK I-BANK O O O O O O O O
2040,优秀资质，工行有多少钻？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2041,我也是同样的问题，工商给我发短信了，提供流水，,O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
2042,不懂帮顶，这个不给会不会没法往下继续协商啊,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2043,其实大妈额度高的话，普卡金卡最好用,O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O
2044,工行容易,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ
2045,工行公积金的作用比砖大,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
2046,自讨没趣，直接网申就好了，何必去网点看他们无奈的眼神或者白眼呢。,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O
2047,工行20年开户时间了。。。用的少,B-BANK I-BANK O O O O O O O O O O O O O O
2048,网申就可以了，下个兴业的app,O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT
2049,工行的白金就是额度不稳定,B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
2050,4a都有可能，以上估计没了,O O O O O O O O O O O O O
2051,工行不能，平安应该还有,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O
2052,平安只有8连,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2053,私行，钻石，白金，金卡可以让理财经理挑(但是最多也就是3A/4A连号)，普卡也是可以让理财帮忙挑，而且现在10连9连都不用想了，就说定制卡，9连沃德应该是可以(因为卡号数字...,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2054,私行，钻石，白金，金卡可以让理财经理挑(但是最多也就是3A/4A连号)，普卡也是可以让理财帮忙挑，而且现在1...,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O
2055,优秀。同短信邀请，已开户半个月还没寄卡。电话问网点，被各种质疑：你是网申的吗？短信，是不是没填资料？一般一星期就到，是不是还没批？...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2056,棒?我还是没有动静?大妈更年期到了,B-COMMENTS_ADJ O O O O O O O O O O O O O O O O
2057,优秀?有短信邀请，开户半个月了还没发卡?打电话给网点,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
2058,分享配额，小白?,O O B-COMMENTS_N I-COMMENTS_N O O O O
2059,不是说境外刷卡提额快么,O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O
2060,境外只能用支付宝微信,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O
2061,去境外办一个刷卡机,O O O O O O B-COMMENTS_N I-COMMENTS_N O
2062,把卡放家里让别人帮刷，这样额度也很快长起来,O B-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O O O
2063,支付宝微信能用信用卡付款吗,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2064,我说的是国外都去了来几个真实消费提额会快很多,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2065,新人发文，需要您的多多支持与鼓励~请问3136以后，可以用jcb的,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O
2066,全借出来就能直接调,O O O O O O O O O
2067,我万年不提的容易姐昨天看了也提额度了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O
2068,白金卡主要是哄小白的，聪明人都办大妈普卡金卡,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O
2069,上海大白金可以刷免，15笔就可以了,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O
2070,那不更属于哄小孩的“白金”吗，15笔就刷免，能有什么权益,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
2071,2次接送机，无限次贵宾室+10点龙腾，1次高端酒店免费住，1次高端酒店双人自助餐,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O
2072,visa数字简约白金卡办一张。,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
2073,同额菜卡，招行和浦发,O O B-PRODUCT I-PRODUCT O B-BANK I-BANK O B-BANK I-BANK
2074,我目前只有一张找了中介处理，其他卡实在连中介费都付不上，自己去银监局投诉尝试协商又协商不下来,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2075,停息挂账可以搞，教你啊,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O
2076,我的协商下来了，分了60期，分期还是很划算的,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2077,是每期都要利息和分期费吧？,O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O
2078,不用全部免息的还一笔少一笔,O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ O O
2079,那你那边的工行太良心了我这里付全额利息都不给分期必须一次性还清要不就继续逾期头铁的很,O O O O O B-BANK I-BANK O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
2080,解了??柜台坐了一个小时叫我规范用卡不然下次只能销卡了,O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O B-PRODUCT O
2081,不出意外，你肯定钱到账立马转走，一直这样，招行效率还可以,O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
2082,可能拒了，下个融E联看看，我跟你一样??融E联有拒的短信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2083,终于曲线提额了，8到15K，2018年到现在无聊曲线一下,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O
2084,都说看开点菜卡2000也是爱，可是谁不想拥有一个漂亮的额度,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N
2085,为了办一个融e借，花了55大洋工本费…,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O
2086,能办下来的就不是事儿，很多地方都不给办了,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
2087,我这儿就不给办，说没有700k以上额度的资金流转是不给办u盾的，或者五星用户才可以免费办,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O
2088,还有我觉得苏州的银行都很多事，各种刁难外地人,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2089,我黑龙江的卡五一时候去山东办激活开手机银行都可以，建行有一张卡当年忘加挂手机银行了，回苏州建行网点告诉我要居住证明，工作证明，社保证明才能开，就连加挂都等同于...,O O O O O B-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-BANK I-BANK O O O B-PRODUCT O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2090,但限额严重啊，有密码器的时候还月限五万、日限两万呢，有了盾，大堂告诉我说有了这个日限500w，让我妥善保管,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2091,另外就是我2W的额度，其中我用了1.5W的融E借，如果没占用融e借的话，可能会被砍的更多,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O
2092,办理分期一样降额，我办理了12期第二天4万降额1千,O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O
2093,不是撸狠了，应该是你融E借出来的资金用途违反规定了，我用来还信用卡了，5,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2094,机关单位入职一年了大妈代发公积金社保齐全,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
2095,海淀支行问了，黑财富要6星，机器上有；香白也没水，过的还是个人征信有所改善。,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2096,我也在开发老婆的额度来用嘿嘿,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
2097,下点十万？想什么呢，那得多少砖的资质,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
2098,无界不好用了，有什么好办法。二维码限额了。上个月有动物可以1万。然后都被限了。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2099,买点理财基金就好快了,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2100,我的无界卡无缘无故被暂停了，打电话给客服说只能注销，还要去营业厅，普通那些还不行，要去白云区那个专门搞信用卡那个，反正我后面不申请没实体的了，这么不稳定...,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2101,有工商E分期，建行分期通，中行优客分期，招商闪电?贷。没有小贷，没有网贷,O B-BANK I-BANK O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT
2102,工行你不分期，每个月都往死打,B-BANK I-BANK O O B-PRODUCT I-PRODUCT O O O O O O O O
2103,我18年4月冻的，每半年去一次，每次都是查询告诉我冻结，今天我会去看看，这次去是因为这么久了工商突然发短信邀请我办卡了，我怀疑已经解封了，不然不会发给我...,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O
2104,可能是工行没资产吧??我第一次提了??第二次没提??然后我就曲线试试了??结果成功了??就是时间太久??半年曲线一次,O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2105,老哥，上个月底我下了华夏39000你还有印象吗？我前天又在云闪付申请了浦发，又过了，批了12000。这银行也是奇怪，征信有逾期，你需要他的时候他是死活不过，你不怎么需要他...,O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O
2106,广发鼎极白,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT
2107,好上吗？是继续申卡还是提额？,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O
2108,工行储蓄卡888888885需要多少钱呢？在线问,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
2109,养大了在申请吧，不然你后面即使下了也都是几千的菜卡，无意义,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
2110,大概10个w以上，额度还可以吧,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
2111,我看你不是经常撸小贷，怎么会是白户呢。,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
2112,问题是这卡会配银联卡吗？,O O O O B-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT O O
2113,曲线的白金卡是什么卡？用的都是一套资料吗？,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O
2114,我数了一下，白金卡批卡以后申请23次都拒了,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_ADJ O
2115,生肖白金年费刷免吗,B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O
2116,我也是生肖白1万曲线到5万的，年费有待确定，app显示和kf说的不一样,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
2117,融e借已关闭??信用卡也降额了,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
2118,当时我绝对抢到了，提示扣两点，已经到最后一步现在去约车我就关掉了。现在点数没扣掉，,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2119,有个融资租赁不是太好，然后就是信用卡审批太多，最近不要再去申请了，查询多了申卡很难过银行系统的。,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
2120,负债有点多。信用卡总额49万，用了39万，再加上每月还贷5k+。收入能达到每月几万几十万吗？,B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2121,达不到啊。所以一看到也吓一跳,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O
2122,我都没见过人民银行，这和招行app打出来的一样吗？,O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
2123,就算这些全都分期，也得每月大约2万还款额，税后收入得远高于这个还款额吧,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O
2124,原因是负债率高和硬查询多，休息3-6月后再战吧，把负债降一下和不要再增加查询。,O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O O
2125,基本一样。不过这是详细版本的,O O O O O O O O O O O O O O
2126,去百度地图上搜索中国人民银行，每个地方都有央行，小县城都有，然后去那打印就可以了,O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O
2127,我在招行app上查的征信跟我前几个月的不一样，前段时间查了还有好几个平台的逾期了，前几天查了那些小平台的都没记录了，有的甚至结清了，我逾期7个月了...,O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
2128,6星就能办了么？黑财富卡有什么用呢？大佬们,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
2129,上次和好友一起去，好友想办一个，要求是U盾绑定的银行卡上最少要有500万，这个还是最低要求。,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2130,广东很多地方都不给办，不符合规定吧,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O
2131,这个搞点京东卡算了，一天一次，盒马卡才是最划算的，抢不到,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
2132,云闪付换的比例少，你直接到工行APP换的金额更多…能换微信支付宝,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O O O O O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2133,兄弟，我以前也是你这样认为都换了。后来发现有个积分月末周11500换30京东购物卡……,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O
2134,这都已经半个多月了，有的大佬说三天或者七天能自动解封，现在感觉遥遥无期,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
2135,我的建设卡也是，WD封了2次，第一次2天，第二次自己要去柜台，只能柜台取现金，卡也注销不了,O O B-BANK I-BANK B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O
2136,用工行储蓄卡给平安信用卡还款，在云闪付上，单笔只能300以内,O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
2137,没平安信用卡呀。还有什么方法,O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
2138,工银e生活看能不能查到,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2139,等开户就可以看到额度了，工商银行app查询进度,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O
2140,我两年拿下大妈3k任务卡，坚持,O O O O O O O O O O O B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ
2141,2年没提吗，还是3k，招行个渣渣,O O O O O O O O O O O B-BANK I-BANK O O O
2142,13年上学的时候用过建行，没有秒拒，不知道啥情况，给不给批，兄弟你多久出结果的呀，我以前好像申请过几次，都是秒拒，不知道这会有希望没...,O O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O
2143,征信都没有拉，直接批。,B-PRODUCT I-PRODUCT O O O O O O O O O
2144,App上看，掌上生活,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT
2145,这就奇怪了，我也是微信上不行，app上正常,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ
2146,【建行公务金】30k有效免，公务用,O B-BANK I-BANK O O O O O O O O O O O O O O
2147,这是同一个支付宝家族的收藏。,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
2148,首年免吧？基本每个银行信用卡都是的,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2149,工行每年都有刷卡返现活动，等2次活动，一次刷10万就可以了，积分白撸,B-BANK I-BANK O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O
2150,是不是融e审核过了能提出来才会提示你用密码器这些东西，如果拒了就不会提示这些，害你白忙活了吧？。,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O
2151,用容易借申请卡就行??我容易借1w??下卡2w,O O O O O O B-PRODUCT O O O O O O O O O O O O O B-PRODUCT O O
2152,我现在还在工商大厅运行的密码是免费的。关键是年化10。,O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O
2153,我也在等，发一下办卡进度参考一下可以吗，招商银行的,O O O O O O O O O B-PRODUCT O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O
2154,和小招的已婚美国运通卡,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2155,怎么样？比融e借如何,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O
2156,我也有收到。要查征信，不是预审额度。没经营快贷和容易借简单。容易借和经营快贷都是直接预批了额度，点了秒下款。...,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
2157,我可以邀约你进白名单,O O O O O O O O O O
2158,我也收到了。?查信用信息，不是审前额度?哪里可以申请轻松贷款？怎么收利息？,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O
2159,入学前没见有企业贷款，这个0512我不会用,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O
2160,我融e借突然给我16w不知道为啥，之前怎么申请都不行,O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2161,有存款吗有流水吗有房有车吗有公积金吗有代发工资吗,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
2162,楼主啥时候达成的任务，我3.10号达成的任务现在没有返现呢，是不是太晚了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2163,楼主什么时候完成任务的？现在，我的到了。开心啊,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2164,工商数字无界卡30k,B-BANK I-BANK O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2165,我卖了卡重申，额度就还好吧,O O O B-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2166,还能卖了的，咋卖的？？？这都能操作,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2167,为什么不能？价格合适就能卖成，还有租,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O
2168,二卡申请，应该也是共享额度吧,B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
2169,首卡3k。昨日已上车，还没拒，有戏吗,B-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ O O O O
